Typology,FieldName,FieldType,FieldFormat,Nullable,DefaultValue,IsPartitionKey,IsMergeKey,SourceField,CommonPrefix
OIS,trade_global_id,str,,FALSE,,,Y,tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,trades/trade
OIS,entity,str,,TRUE,,,,tradeHeader/tradeViews/tradeView/entity,trades/trade
OIS,legal_entity,str,,TRUE,,,,tradeHeader/tradeViews/tradeView/legalEntity,trades/trade
OIS,contract_id,str,,TRUE,,,,tradeHeader/contractReference/businessObjectId/identifier,trades/trade
OIS,root_contract_id,str,,TRUE,,,Y,tradeHeader/contractReference/contractId/rootContract,trades/trade
OIS,trade_id,str,,FALSE,,,Y,businessObjectId/identifier,trades/trade
OIS,version_number,str,,TRUE,,,Y,businessObjectId/versionIdentifier/versionRevision/versionNumber,trades/trade
OIS,trade_origin_id,str,,TRUE,,,,tradeHeader/tradeSource/tradeOriginId,trades/trade
OIS,trade_date,date,%Y%m%d,TRUE,,Y,,tradeHeader/tradeDate,trades/trade
OIS,trade_status,str,,TRUE,,,,tradeStatus/physicalStatus,trades/trade
OIS,instrument_name,str,,TRUE,,,,tradeBody/interestRateSwap/templateID/templateLabel,trades/trade
OIS,instrument_number,str,,TRUE,,,,tradeBody/interestRateSwap/templateID/templateNumber,trades/trade
OIS,instrument_type,str,,TRUE,,,,tradeBody/interestRateSwap/templateID/templateType,trades/trade
OIS,instrument_class,str,,TRUE,,,,tradeBody/interestRateSwap/businessObjectId/@mefClassInstanceType,trades/trade
OIS,trade_typology_id,str,,TRUE,,,,tradeHeader/tradeCategory/tradeTypologyId,trades/trade
OIS,trade_family,str,,TRUE,,,,tradeHeader/tradeCategory/tradeFamily,trades/trade
OIS,trade_group,str,,TRUE,,,,tradeHeader/tradeCategory/tradeGroup,trades/trade
OIS,typology,str,,TRUE,,,,tradeHeader/tradeCategory/typology,trades/trade
OIS,main_typology_path,str,,TRUE,,,,tradeHeader/tradeCategory/mainTypologyPath,trades/trade
OIS,usage,str,,TRUE,,,,tradeHeader/tradeCategory/usage,trades/trade
OIS,portfolio_label,str,,TRUE,,,,portfolios/portfolio/portfolioLabel,trades/trade
OIS,party_id,str,,TRUE,,,,parties/party[2]/@id,trades/trade
OIS,party_name,str,,TRUE,,,,parties/party[2]/partyName,trades/trade
OIS,leg0_pay_receive,str,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/payReceive,trades/trade
OIS,leg0_payout_type,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/payoutType,trades/trade
OIS,leg0_index_label,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate/floatingRateStreamTemplate/index/indexLabel,trades/trade
OIS,leg0_rate_convention_label,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,trades/trade
OIS,leg0_frequency_period_unit,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodUnit,trades/trade
OIS,leg0_frequency_period_multiplier,int,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodMultiplier,trades/trade
OIS,leg0_notional_amount,decimal,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod/calculationPeriod/notionalAmount,trades/trade
OIS,leg0_period_day_count_factor,decimal,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod/calculationPeriod/periodDayCountFactor,trades/trade
OIS,leg0_reference_capital_currency,str,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/capital/referenceCapitalCurrency,trades/trade
OIS,leg0_fixed_rate,decimal,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/fixedRateStream/fixedRate,trades/trade
OIS,leg0_margin,decimal,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/floatingRateStream/margin,trades/trade
OIS,leg0_effective_date,str,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/effectiveDate,trades/trade
OIS,leg0_maturity,str,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/maturity,trades/trade
OIS,leg1_pay_receive,str,,TRUE,,,,tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/payReceive,trades/trade
OIS,leg1_payout_type,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=2]/payoutType,trades/trade
OIS,leg1_index_label,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate/floatingRateStreamTemplate/index/indexLabel,trades/trade
OIS,leg1_rate_convention_label,str,,TRUE,,,,tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,trades/trade
