Bronze,,,,Silver,,,,,Gold,,,,
trade_family,trade_group,trade_type,xpath,enriched_table,column_name,datatype,nullable,default,curated_table,curated_field_mapping,transforamtion,ESB,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,murex_trade_curr_fxd_fxd,trade_global_id,StringType,FALSE,,,GLOBALID,,,
CURR,FXD,FXD,"/MxML/trades/trade/tradeHeader//tradeView[partyReference[@href=""#Mizuho_Int_PLC""]]/entity",murex_trade_curr_fxd_fxd,entity,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,murex_trade_curr_fxd_fxd,legal_entity,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,murex_trade_curr_fxd_fxd,contract_id,StringType,TRUE,,,MUREXCONT,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,murex_trade_curr_fxd_fxd,root_contract_id,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/businessObjectId/identifier,murex_trade_curr_fxd_fxd,trade_id,StringType,FALSE,,,TRADENUMB,,,
CURR,FXD,FXD,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,murex_trade_curr_fxd_fxd,version_number,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,murex_trade_curr_fxd_fxd,trade_origin_id,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeDate,murex_trade_curr_fxd_fxd,trade_date,DateType,FALSE,,,TRADETIME,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeInputConditions/computerTime,murex_trade_curr_fxd_fxd,trade_time,TimestampType,FALSE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeStatus/physicalStatus,murex_trade_curr_fxd_fxd,trade_status,StringType,TRUE,,,STATUS,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeBody/fxSpotForward/riskSection,murex_trade_curr_fxd_fxd,instrument_name,StringType,TRUE,,,INSTRUMEN CURVSCURR,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,murex_trade_curr_fxd_fxd,trade_typology_id,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,murex_trade_curr_fxd_fxd,trade_family,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,murex_trade_curr_fxd_fxd,trade_group,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,murex_trade_curr_fxd_fxd,trade_type,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/typology,murex_trade_curr_fxd_fxd,typology,StringType,TRUE,,,TYPOLOGY,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,murex_trade_curr_fxd_fxd,main_typology_path,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeHeader/tradeCategory/usage,murex_trade_curr_fxd_fxd,usage,StringType,TRUE,,,,,,
CURR,FXD,FXD,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,murex_trade_curr_fxd_fxd,portfolio_label,StringType,TRUE,,,PORTFOLIO,,,
CURR,FXD,FXD,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/@id",murex_trade_curr_fxd_fxd,counter_party_id,StringType,TRUE,,,,,,
CURR,FXD,FXD,"/MxML/trades/trade/parties/party[partyName != ""Mizuho Int PLC""]/partyName",murex_trade_curr_fxd_fxd,counter_party_name,StringType,TRUE,,,CP,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/payerPartyReference/@href,murex_trade_curr_fxd_fxd,currency1_flow_payer_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/receiverPartyReference/@href,murex_trade_curr_fxd_fxd,currency1_flow_receiver_party_reference,StringType,TRUE,,,BUYSELL,,,
CURR,FXD,FXD,/MxML/trades/trade/tradeBody/fxSpotForward/currency1Flow/currency,murex_trade_curr_fxd_fxd,currency1_flow_currency,StringType,TRUE,,,LEG0CUR LEG1CUR CURR1,,,
