typology,trade_family,trade_group,trade_type,column_name,xpath,datatype,nullable,default,Gold
OIS,IRD,IRS,,trade_global_id,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,StringType,FALSE,,GLOBALID
OIS,IRD,IRS,,entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,StringType,TRUE,,
OIS,IRD,IRS,,legal_entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,StringType,TRUE,,
OIS,IRD,IRS,,contract_id,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,StringType,TRUE,,MUREXCONT
OIS,IRD,IRS,,root_contract_id,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,StringType,TRUE,,
OIS,IRD,IRS,,trade_id,/MxML/trades/trade/businessObjectId/identifier,StringType,FALSE,,TRADENUMB
OIS,IRD,IRS,,version_number,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,StringType,TRUE,,
OIS,IRD,IRS,,trade_origin_id,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,StringType,TRUE,,
OIS,IRD,IRS,,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,TRADETIME
OIS,IRD,IRS,,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,STATUS
OIS,IRD,IRS,,instrument_name,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateLabel,StringType,TRUE,,INSTRUMEN
OIS,IRD,IRS,,instrument_number,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateNumber,StringType,TRUE,,
OIS,IRD,IRS,,instrument_type,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateType,StringType,TRUE,,
OIS,IRD,IRS,,instrument_class,/MxML/trades/trade/tradeBody/interestRateSwap/businessObjectId/@mefClassInstanceType,StringType,TRUE,,
OIS,IRD,IRS,,trade_typology_id,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,StringType,TRUE,,
OIS,IRD,IRS,,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,TYPOLOGY
OIS,IRD,IRS,,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,TYPOLOGY
OIS,IRD,IRS,,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,
OIS,IRD,IRS,,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,
OIS,IRD,IRS,,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,
OIS,IRD,IRS,,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,PORTFOLIO
OIS,IRD,IRS,,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,
OIS,IRD,IRS,,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,CP
OIS,IRD,IRS,,leg0_pay_receive,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/payReceive,StringType,TRUE,,L0PR
OIS,IRD,IRS,,leg0_payout_type,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/payoutType,StringType,TRUE,,LEG0FV
OIS,IRD,IRS,,leg0_index_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/floatingRateStreamTemplate/index/indexLabel,StringType,TRUE,,LEG0IND
OIS,IRD,IRS,,leg0_rate_convention_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,StringType,TRUE,,LEG0DC
OIS,IRD,IRS,,leg0_frequency_period_unit,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodUnit,StringType,TRUE,,LEG0PFREQ
OIS,IRD,IRS,,leg0_frequency_period_multiplier,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodMultiplier,IntegerType,TRUE,,
OIS,IRD,IRS,,leg0_notional_amount,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,DecimalType,TRUE,,LEG0NOM
OIS,IRD,IRS,,leg0_reference_capital_currency,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/capital/referenceCapitalCurrency,StringType,TRUE,,LEG0CUR
OIS,IRD,IRS,,leg0_fixed_rate,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/fixedRateStream/fixedRate,DecimalType,TRUE,0,LEG0RATE
OIS,IRD,IRS,,leg0_margin,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/floatingRateStream/margin,DecimalType,TRUE,0,LEG0MARGIN
OIS,IRD,IRS,,leg0_effective_date,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/effectiveDate,StringType,TRUE,,LEG0S
OIS,IRD,IRS,,leg0_maturity,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/maturity,StringType,TRUE,,LEG0E
OIS,IRD,IRS,,leg1_pay_receive,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/payReceive,StringType,TRUE,,LEG1PR
OIS,IRD,IRS,,leg1_payout_type,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=2]/payoutType,StringType,TRUE,,LEG1FV
OIS,IRD,IRS,,leg1_index_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=2]/floatingRateStreamTemplate/index/indexLabel,StringType,TRUE,,LEG1IND
OIS,IRD,IRS,,leg1_rate_convention_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/rateConvention/rateConventionLabel,StringType,TRUE,,LEG1DC
OIS,IRD,IRS,,leg1_frequency_period_unit,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodUnit,StringType,TRUE,,LEG1PFREQ
OIS,IRD,IRS,,leg1_frequency_period_multiplier,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/streamSchedules/calculationSchedule/frequency/periodMultiplier,IntegerType,TRUE,,
OIS,IRD,IRS,,leg1_notional_amount,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,DecimalType,TRUE,,LEG1NOM
OIS,IRD,IRS,,leg1_reference_capital_currency,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/capital/referenceCapitalCurrency,StringType,TRUE,,LEG1CUR
OIS,IRD,IRS,,leg1_fixed_rate,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/fixedRateStream/fixedRate,DecimalType,TRUE,0,LEG1RATE
OIS,IRD,IRS,,leg1_margin,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/floatingRateStream/margin,DecimalType,TRUE,0,LEG1MARGIN
OIS,IRD,IRS,,leg1_effective_date,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/effectiveDate,DateType,TRUE,,LEG1S
OIS,IRD,IRS,,leg1_maturity,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=2]/maturity,DateType,TRUE,,LEG1E
OIS,IRD,IRS,,collateral_agreement_category,/MxML/trades/trade/tradeHeader/tradeCategory/collateralAgreementCategory,StringType,TRUE,,CSA
OIS,IRD,IRS,,trade_amount,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/cashFlows/interestFlows/interestPaymentPeriod[1]/calculationPeriod/notionalAmount,DecimalType,TRUE,,TRADED_AMT
,,,,,,,,,
Basis Swap,IRD,IRS,,trade_global_id,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,StringType,FALSE,,GLOBALID
Basis Swap,IRD,IRS,,entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,StringType,TRUE,,
Basis Swap,IRD,IRS,,legal_entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,StringType,TRUE,,
Basis Swap,IRD,IRS,,contract_id,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,StringType,TRUE,,MUREXCONT
Basis Swap,IRD,IRS,,root_contract_id,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,StringType,TRUE,,
Basis Swap,IRD,IRS,,trade_id,/MxML/trades/trade/businessObjectId/identifier,StringType,FALSE,,TRADENUMB
Basis Swap,IRD,IRS,,version_number,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,StringType,TRUE,,
Basis Swap,IRD,IRS,,trade_origin_id,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,StringType,TRUE,,
Basis Swap,IRD,IRS,,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,TRADETIME
Basis Swap,IRD,IRS,,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,STATUS
Basis Swap,IRD,IRS,,instrument_name,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateLabel,StringType,TRUE,,INSTRUMEN
Basis Swap,IRD,IRS,,instrument_number,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateNumber,StringType,TRUE,,
Basis Swap,IRD,IRS,,instrument_type,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateType,StringType,TRUE,,
Basis Swap,IRD,IRS,,instrument_class,/MxML/trades/trade/tradeBody/interestRateSwap/businessObjectId/@mefClassInstanceType,StringType,TRUE,,
Basis Swap,IRD,IRS,,trade_typology_id,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,StringType,TRUE,,
Basis Swap,IRD,IRS,,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,TYPOLOGY
Basis Swap,IRD,IRS,,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,TYPOLOGY
Basis Swap,IRD,IRS,,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,
Basis Swap,IRD,IRS,,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,
Basis Swap,IRD,IRS,,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,
Basis Swap,IRD,IRS,,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,PORTFOLIO
Basis Swap,IRD,IRS,,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,
Basis Swap,IRD,IRS,,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,CP
Basis Swap,IRD,IRS,,leg0_pay_receive,/MxML/trades/trade/tradeBody/interestRateSwap/stream[streamTemplate/leg=1]/payReceive,StringType,TRUE,,L0PR
Basis Swap,IRD,IRS,,leg0_payout_type,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/payoutType,StringType,TRUE,,LEG0FV
Basis Swap,IRD,IRS,,leg0_index_label,/MxML/trades/trade/tradeBody/interestRateSwap/stream/streamTemplate[leg=1]/floatingRateStreamTemplate/index/indexLabel,StringType,TRUE,,LEG0IND
