trade_family,trade_group,trade_type,column_name,xpath,datatype,nullable,default,enriched_table,curated_mapping
IRD,IRS,,trade_global_id,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/tradeId/tradeGlobalId,StringType,FALSE,,murex_trade_ird_irs,GLOBALID
IRD,IRS,,entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView[1]/entity,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,legal_entity,/MxML/trades/trade/tradeHeader/tradeViews/tradeView/legalEntity,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,contract_id,/MxML/trades/trade/tradeHeader/contractReference/businessObjectId/identifier,StringType,TRUE,,murex_trade_ird_irs,MUREXCONT
IRD,IRS,,root_contract_id,/MxML/trades/trade/tradeHeader/contractReference/contractId/rootContract,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_id,/MxML/trades/trade/businessObjectId/identifier,StringType,FALSE,,murex_trade_ird_irs,TRADENUMB
IRD,IRS,,version_number,/MxML/trades/trade/businessObjectId/versionIdentifier/versionRevision/versionNumber,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_origin_id,/MxML/trades/trade/tradeHeader/tradeSource/tradeOriginId,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_date,/MxML/trades/trade/tradeHeader/tradeDate,DateType,FALSE,,murex_trade_ird_irs,TRADETIME
IRD,IRS,,trade_status,/MxML/trades/trade/tradeStatus/physicalStatus,StringType,TRUE,,murex_trade_ird_irs,STATUS
IRD,IRS,,instrument_name,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateLabel,StringType,TRUE,,murex_trade_ird_irs,INSTRUMEN
IRD,IRS,,instrument_number,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateNumber,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,instrument_type,/MxML/trades/trade/tradeBody/interestRateSwap/templateID/templateType,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,instrument_class,/MxML/trades/trade/tradeBody/interestRateSwap/businessObjectId/@mefClassInstanceType,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_typology_id,/MxML/trades/trade/tradeHeader/tradeCategory/tradeTypologyId,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_family,/MxML/trades/trade/tradeHeader/tradeCategory/tradeFamily,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_group,/MxML/trades/trade/tradeHeader/tradeCategory/tradeGroup,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,trade_type,/MxML/trades/trade/tradeHeader/tradeCategory/tradeType,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,typology,/MxML/trades/trade/tradeHeader/tradeCategory/typology,StringType,TRUE,,murex_trade_ird_irs,TYPOLOGY
IRD,IRS,,main_typology_path,/MxML/trades/trade/tradeHeader/tradeCategory/mainTypologyPath,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,usage,/MxML/trades/trade/tradeHeader/tradeCategory/usage,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,portfolio_label,/MxML/trades/trade/portfolios/portfolio/portfolioLabel,StringType,TRUE,,murex_trade_ird_irs,PORTFOLIO
IRD,IRS,,party_id,/MxML/trades/trade/parties/party[2]/@id,StringType,TRUE,,murex_trade_ird_irs,
IRD,IRS,,party_name,/MxML/trades/trade/parties/party[2]/partyName,StringType,TRUE,,murex_trade_ird_irs,CP
